,date_pt,hour_pt,time_pt,var,value,site,vartype
192,2013-04-27,0,2013-04-27 00:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
193,2013-04-27,1,2013-04-27 01:00:00,GPM,0.0,stream,Flow (GPM)
194,2013-04-27,2,2013-04-27 02:00:00,GPM,0.0,stream,Flow (GPM)
195,2013-04-27,3,2013-04-27 03:00:00,GPM,0.0,stream,Flow (GPM)
196,2013-04-27,4,2013-04-27 04:00:00,GPM,0.0,stream,Flow (GPM)
197,2013-04-27,5,2013-04-27 05:00:00,GPM,0.0,stream,Flow (GPM)
198,2013-04-27,6,2013-04-27 06:00:00,GPM,0.0,stream,Flow (GPM)
199,2013-04-27,7,2013-04-27 07:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
200,2013-04-27,8,2013-04-27 08:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
201,2013-04-27,9,2013-04-27 09:00:00,GPM,0.5,stream,Flow (GPM)
202,2013-04-27,10,2013-04-27 10:00:00,GPM,0.5,stream,Flow (GPM)
203,2013-04-27,11,2013-04-27 11:00:00,GPM,0.5,stream,Flow (GPM)
204,2013-04-27,12,2013-04-27 12:00:00,GPM,0.0,stream,Flow (GPM)
205,2013-04-27,13,2013-04-27 13:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
206,2013-04-27,14,2013-04-27 14:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
207,2013-04-27,15,2013-04-27 15:00:00,GPM,0.0,stream,Flow (GPM)
208,2013-04-27,16,2013-04-27 16:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
209,2013-04-27,17,2013-04-26 17:00:00,GPM,0.0,stream,Flow (GPM)
210,2013-04-27,18,2013-04-26 18:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
211,2013-04-27,19,2013-04-26 19:00:00,GPM,0.0,stream,Flow (GPM)
212,2013-04-27,20,2013-04-26 20:00:00,GPM,0.0,stream,Flow (GPM)
213,2013-04-27,21,2013-04-26 21:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
214,2013-04-27,22,2013-04-26 22:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
215,2013-04-27,23,2013-04-26 23:00:00,GPM,0.0,stream,Flow (GPM)
216,2013-04-28,0,2013-04-28 00:00:00,GPM,0.0,stream,Flow (GPM)
217,2013-04-28,1,2013-04-28 01:00:00,GPM,0.0,stream,Flow (GPM)
218,2013-04-28,2,2013-04-28 02:00:00,GPM,0.0,stream,Flow (GPM)
219,2013-04-28,3,2013-04-28 03:00:00,GPM,0.0,stream,Flow (GPM)
220,2013-04-28,4,2013-04-28 04:00:00,GPM,0.0,stream,Flow (GPM)
221,2013-04-28,5,2013-04-28 05:00:00,GPM,0.0,stream,Flow (GPM)
222,2013-04-28,6,2013-04-28 06:00:00,GPM,0.0,stream,Flow (GPM)
223,2013-04-28,7,2013-04-28 07:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
224,2013-04-28,8,2013-04-28 08:00:00,GPM,0.0,stream,Flow (GPM)
225,2013-04-28,9,2013-04-28 09:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
226,2013-04-28,10,2013-04-28 10:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
227,2013-04-28,11,2013-04-28 11:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
228,2013-04-28,12,2013-04-28 12:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
229,2013-04-28,13,2013-04-28 13:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
230,2013-04-28,14,2013-04-28 14:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
231,2013-04-28,15,2013-04-28 15:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
232,2013-04-28,16,2013-04-28 16:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
233,2013-04-28,17,2013-04-27 17:00:00,GPM,0.0,stream,Flow (GPM)
234,2013-04-28,18,2013-04-27 18:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
235,2013-04-28,19,2013-04-27 19:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
236,2013-04-28,20,2013-04-27 20:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
237,2013-04-28,21,2013-04-27 21:00:00,GPM,0.0,stream,Flow (GPM)
238,2013-04-28,22,2013-04-27 22:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
239,2013-04-28,23,2013-04-27 23:00:00,GPM,0.0,stream,Flow (GPM)
240,2013-04-29,0,2013-04-29 00:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
