,variable,Date,Hour,value,units,site,dates,WeekDay,WeekPart,time stamp
153,Total.Flow,8/17/2016,3,0,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 3:00
154,Total.Flow,8/17/2016,4,0.012466667,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 4:00
155,Total.Flow,8/17/2016,5,0.211933333,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 5:00
156,Total.Flow,8/17/2016,6,0.623333333,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 6:00
157,Total.Flow,8/17/2016,7,0.959933333,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 7:00
158,Total.Flow,8/17/2016,8,1.358866667,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 8:00
159,Total.Flow,8/17/2016,9,0.199466667,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 9:00
160,Total.Flow,8/17/2016,10,0.211933333,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 10:00
161,Total.Flow,8/17/2016,11,0.648266667,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 11:00
162,Total.Flow,8/17/2016,12,0.124666667,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 12:00
163,Total.Flow,8/17/2016,13,0.1496,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 13:00
164,Total.Flow,8/17/2016,14,0.162066667,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 14:00
165,Total.Flow,8/17/2016,15,0.1122,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 15:00
166,Total.Flow,8/17/2016,16,0.187,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 16:00
167,Total.Flow,8/17/2016,17,0.099733333,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 17:00
168,Total.Flow,8/17/2016,18,0.062333333,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 18:00
169,Total.Flow,8/17/2016,19,0.511133333,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 19:00
170,Total.Flow,8/17/2016,20,0.0748,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 20:00
171,Total.Flow,8/17/2016,21,0.124666667,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 21:00
172,Total.Flow,8/17/2016,22,0.062333333,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 22:00
173,Total.Flow,8/17/2016,23,0.0748,GPM,BuildingB,8/17/2016,4,Weekday,8/17/2016 23:00
174,Total.Flow,8/18/2016,0,0,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 0:00
175,Total.Flow,8/18/2016,1,0,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 1:00
176,Total.Flow,8/18/2016,2,0,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 2:00
177,Total.Flow,8/18/2016,3,0,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 3:00
178,Total.Flow,8/18/2016,4,0,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 4:00
179,Total.Flow,8/18/2016,5,0.473733333,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 5:00
180,Total.Flow,8/18/2016,6,1.4586,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 6:00
181,Total.Flow,8/18/2016,7,0.735533333,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 7:00
182,Total.Flow,8/18/2016,8,0.4114,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 8:00
183,Total.Flow,8/18/2016,9,0.3366,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 9:00
184,Total.Flow,8/18/2016,10,0.4862,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 10:00
185,Total.Flow,8/18/2016,11,0.236866667,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 11:00
186,Total.Flow,8/18/2016,12,0.1496,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 12:00
187,Total.Flow,8/18/2016,13,0.137133333,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 13:00
188,Total.Flow,8/18/2016,14,0.361533333,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 14:00
189,Total.Flow,8/18/2016,15,0.1122,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 15:00
190,Total.Flow,8/18/2016,16,0.087266667,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 16:00
191,Total.Flow,8/18/2016,17,0.124666667,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 17:00
192,Total.Flow,8/18/2016,18,0.1496,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 18:00
193,Total.Flow,8/18/2016,19,0.2992,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 19:00
194,Total.Flow,8/18/2016,20,0.124666667,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 20:00
195,Total.Flow,8/18/2016,21,0.049866667,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 21:00
196,Total.Flow,8/18/2016,22,0.049866667,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 22:00
197,Total.Flow,8/18/2016,23,0.1122,GPM,BuildingB,8/18/2016,5,Weekday,8/18/2016 23:00
198,Total.Flow,8/19/2016,0,0,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 0:00
199,Total.Flow,8/19/2016,1,0,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 1:00
200,Total.Flow,8/19/2016,2,0.012466667,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 2:00
201,Total.Flow,8/19/2016,3,0.012466667,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 3:00
202,Total.Flow,8/19/2016,4,0,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 4:00
203,Total.Flow,8/19/2016,5,0,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 5:00
204,Total.Flow,8/19/2016,6,0.4114,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 6:00
205,Total.Flow,8/19/2016,7,0.324133333,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 7:00
206,Total.Flow,8/19/2016,8,1.3838,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 8:00
207,Total.Flow,8/19/2016,9,0.162066667,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 9:00
208,Total.Flow,8/19/2016,10,0.311666667,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 10:00
209,Total.Flow,8/19/2016,11,0.797866667,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 11:00
210,Total.Flow,8/19/2016,12,0.2244,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 12:00
211,Total.Flow,8/19/2016,13,0.199466667,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 13:00
212,Total.Flow,8/19/2016,14,0.099733333,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 14:00
213,Total.Flow,8/19/2016,15,0.311666667,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 15:00
214,Total.Flow,8/19/2016,16,0.199466667,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 16:00
215,Total.Flow,8/19/2016,17,0.0374,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 17:00
216,Total.Flow,8/19/2016,18,0.236866667,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 18:00
217,Total.Flow,8/19/2016,19,0.211933333,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 19:00
218,Total.Flow,8/19/2016,20,0.2244,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 20:00
219,Total.Flow,8/19/2016,21,0.174533333,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 21:00
220,Total.Flow,8/19/2016,22,0.1122,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 22:00
221,Total.Flow,8/19/2016,23,0.049866667,GPM,BuildingB,8/19/2016,6,Weekend,8/19/2016 23:00
222,Total.Flow,8/20/2016,0,0.099733333,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 0:00
223,Total.Flow,8/20/2016,1,0.024933333,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 1:00
224,Total.Flow,8/20/2016,2,0,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 2:00
225,Total.Flow,8/20/2016,3,0.012466667,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 3:00
226,Total.Flow,8/20/2016,4,0,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 4:00
227,Total.Flow,8/20/2016,5,0,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 5:00
228,Total.Flow,8/20/2016,6,0.012466667,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 6:00
229,Total.Flow,8/20/2016,7,0.461266667,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 7:00
230,Total.Flow,8/20/2016,8,0.573466667,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 8:00
231,Total.Flow,8/20/2016,9,0.623333333,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 9:00
232,Total.Flow,8/20/2016,10,0.187,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 10:00
233,Total.Flow,8/20/2016,11,0.6732,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 11:00
234,Total.Flow,8/20/2016,12,0.1496,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 12:00
235,Total.Flow,8/20/2016,13,0.087266667,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 13:00
236,Total.Flow,8/20/2016,14,1.5334,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 14:00
237,Total.Flow,8/20/2016,15,0.8976,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 15:00
238,Total.Flow,8/20/2016,16,0.1496,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 16:00
239,Total.Flow,8/20/2016,17,0.099733333,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 17:00
240,Total.Flow,8/20/2016,18,0.087266667,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 18:00
241,Total.Flow,8/20/2016,19,0.361533333,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 19:00
242,Total.Flow,8/20/2016,20,0.1122,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 20:00
243,Total.Flow,8/20/2016,21,0.199466667,GPM,BuildingB,8/20/2016,7,Weekend,8/20/2016 21:00
