,dates,value,Hour,WeekDay,timestep_sum,peak_volumes,peak_hours,peak_norm,site
181,2019-12-17,1167.6300000000003,276,72,24,257.31400000000036,14,0.22037289209766814,ejames
182,2019-12-18,1350.14,276,96,24,352.308,11,0.26094182825484763,ejames
183,2019-12-19,1341.9119999999998,276,120,24,263.2959999999996,17,0.19620958751393508,ejames
184,2019-12-20,985.864,276,144,24,240.85600000000005,15,0.24430955993930203,ejames
185,2019-12-21,1007.5560000000003,276,168,24,219.16400000000021,19,0.21752041573867872,ejames
186,2019-12-24,1092.0800000000002,276,72,24,249.08400000000003,16,0.22808219178082195,ejames
187,2019-12-26,1024.0379999999998,276,120,24,224.42599999999982,18,0.21915788281294235,ejames
188,2019-12-27,949.986,276,144,24,216.1720000000002,10,0.22755282709429422,ejames
189,2019-12-28,1189.32,276,168,24,222.90399999999977,10,0.18742138364779856,ejames
190,2019-12-31,1331.4400000000005,276,72,24,311.16800000000035,14,0.2337078651685395,ejames
191,2020-01-02,900.6049999999996,276,120,24,204.95200000000003,12,0.2275714658479579,ejames
192,2020-01-03,1196.8,276,144,24,273.7680000000006,10,0.2287500000000005,ejames
193,2020-01-04,1014.2759999999993,276,168,24,270.7759999999998,10,0.2669648103671979,ejames
194,2020-01-07,1264.1200000000008,276,72,24,341.0880000000001,12,0.26982248520710045,ejames
195,2020-01-08,1136.9599999999994,276,96,24,262.548,14,0.23092105263157908,ejames
196,2020-01-09,1101.0559999999998,276,120,24,273.0199999999998,9,0.247961956521739,ejames
197,2020-01-10,1283.5679999999993,276,144,24,228.13999999999982,10,0.17773892773892772,ejames
198,2020-01-11,1186.328,276,168,24,306.6800000000004,10,0.2585119798234556,ejames
199,2020-01-14,1194.5560000000003,276,72,24,299.2000000000002,17,0.25046963055729504,ejames
200,2020-01-15,1304.5120000000006,276,96,24,297.7039999999998,8,0.22821100917431164,ejames
201,2020-01-16,1060.6640000000002,276,120,24,245.34400000000022,13,0.23131170662905517,ejames
202,2020-01-17,1279.0800000000002,276,144,24,303.6880000000002,18,0.23742690058479549,ejames
203,2020-01-18,1047.2000000000003,276,168,24,249.8320000000002,13,0.2385714285714287,ejames
204,2020-01-21,1296.2840000000003,276,72,24,284.98800000000006,16,0.2198499711482977,ejames
205,2020-01-22,1243.176,276,96,24,293.964,7,0.2364620938628159,ejames
206,2020-01-23,975.392,276,120,24,206.44799999999998,12,0.2116564417177914,ejames
207,2020-01-24,1202.036,276,144,24,271.524,9,0.2258867454884879,ejames
208,2020-01-25,1308.2910000000008,276,168,24,391.20400000000024,10,0.29901910201935195,ejames
209,2020-01-28,1582.743,276,72,24,457.77600000000007,19,0.2892295211540977,ejames
210,2020-01-29,1382.3040000000003,276,96,24,307.42799999999994,12,0.2224025974025973,ejames
211,2020-01-30,1346.3999999999983,276,120,24,308.17599999999965,10,0.2288888888888889,ejames
212,2020-01-31,1414.4690000000003,276,144,24,331.365,10,0.23426812464606858,ejames
213,2020-02-01,937.9939999999992,276,168,24,213.92799999999977,14,0.22806968914513306,ejames
