,time stamp,time_pt,var,vartype,site,value,Date,Hour,WeekDay,WeekPart,dates,timestep_sum
88,2019-03-23 16:00:00,2019-03-23 16:00:00,Flow_CW,Flow (GPM),ejames,65.076,2019-03-23,16,7,Weekend,2019-03-23,1
89,2019-03-23 17:00:00,2019-03-23 17:00:00,Flow_CW,Flow (GPM),ejames,53.10799999999998,2019-03-23,17,7,Weekend,2019-03-23,1
90,2019-03-23 18:00:00,2019-03-23 18:00:00,Flow_CW,Flow (GPM),ejames,59.839999999999975,2019-03-23,18,7,Weekend,2019-03-23,1
91,2019-03-23 19:00:00,2019-03-23 19:00:00,Flow_CW,Flow (GPM),ejames,45.62800000000002,2019-03-23,19,7,Weekend,2019-03-23,1
92,2019-03-23 20:00:00,2019-03-23 20:00:00,Flow_CW,Flow (GPM),ejames,20.196,2019-03-23,20,7,Weekend,2019-03-23,1
93,2019-03-23 21:00:00,2019-03-23 21:00:00,Flow_CW,Flow (GPM),ejames,47.87200000000002,2019-03-23,21,7,Weekend,2019-03-23,1
94,2019-03-23 22:00:00,2019-03-23 22:00:00,Flow_CW,Flow (GPM),ejames,27.676000000000027,2019-03-23,22,7,Weekend,2019-03-23,1
95,2019-03-23 23:00:00,2019-03-23 23:00:00,Flow_CW,Flow (GPM),ejames,50.86399999999998,2019-03-23,23,7,Weekend,2019-03-23,1
96,2019-03-24 00:00:00,2019-03-24 00:00:00,Flow_CW,Flow (GPM),ejames,17.952,2019-03-24,0,1,Weekend,2019-03-24,1
97,2019-03-24 01:00:00,2019-03-24 01:00:00,Flow_CW,Flow (GPM),ejames,12.715999999999982,2019-03-24,1,1,Weekend,2019-03-24,1
98,2019-03-24 02:00:00,2019-03-24 02:00:00,Flow_CW,Flow (GPM),ejames,2.9920000000000018,2019-03-24,2,1,Weekend,2019-03-24,1
99,2019-03-24 03:00:00,2019-03-24 03:00:00,Flow_CW,Flow (GPM),ejames,2.9920000000000018,2019-03-24,3,1,Weekend,2019-03-24,1
100,2019-03-24 04:00:00,2019-03-24 04:00:00,Flow_CW,Flow (GPM),ejames,6.731999999999999,2019-03-24,4,1,Weekend,2019-03-24,1
101,2019-03-24 05:00:00,2019-03-24 05:00:00,Flow_CW,Flow (GPM),ejames,8.976,2019-03-24,5,1,Weekend,2019-03-24,1
102,2019-03-24 06:00:00,2019-03-24 06:00:00,Flow_CW,Flow (GPM),ejames,14.21200000000002,2019-03-24,6,1,Weekend,2019-03-24,1
103,2019-03-24 07:00:00,2019-03-24 07:00:00,Flow_CW,Flow (GPM),ejames,80.784,2019-03-24,7,1,Weekend,2019-03-24,1
104,2019-03-24 08:00:00,2019-03-24 08:00:00,Flow_CW,Flow (GPM),ejames,36.65200000000002,2019-03-24,8,1,Weekend,2019-03-24,1
105,2019-03-24 09:00:00,2019-03-24 09:00:00,Flow_CW,Flow (GPM),ejames,39.64399999999998,2019-03-24,9,1,Weekend,2019-03-24,1
106,2019-03-24 10:00:00,2019-03-24 10:00:00,Flow_CW,Flow (GPM),ejames,70.3120000000002,2019-03-24,10,1,Weekend,2019-03-24,1
107,2019-03-24 11:00:00,2019-03-24 11:00:00,Flow_CW,Flow (GPM),ejames,56.84800000000002,2019-03-24,11,1,Weekend,2019-03-24,1
108,2019-03-24 12:00:00,2019-03-24 12:00:00,Flow_CW,Flow (GPM),ejames,114.444,2019-03-24,12,1,Weekend,2019-03-24,1
109,2019-03-24 13:00:00,2019-03-24 13:00:00,Flow_CW,Flow (GPM),ejames,108.46000000000019,2019-03-24,13,1,Weekend,2019-03-24,1
110,2019-03-24 14:00:00,2019-03-24 14:00:00,Flow_CW,Flow (GPM),ejames,95.7439999999998,2019-03-24,14,1,Weekend,2019-03-24,1
111,2019-03-24 15:00:00,2019-03-24 15:00:00,Flow_CW,Flow (GPM),ejames,84.5239999999998,2019-03-24,15,1,Weekend,2019-03-24,1
112,2019-03-24 16:00:00,2019-03-24 16:00:00,Flow_CW,Flow (GPM),ejames,92.7520000000002,2019-03-24,16,1,Weekend,2019-03-24,1
113,2019-03-24 17:00:00,2019-03-24 17:00:00,Flow_CW,Flow (GPM),ejames,82.27999999999982,2019-03-24,17,1,Weekend,2019-03-24,1
114,2019-03-24 18:00:00,2019-03-24 18:00:00,Flow_CW,Flow (GPM),ejames,76.296,2019-03-24,18,1,Weekend,2019-03-24,1
115,2019-03-24 19:00:00,2019-03-24 19:00:00,Flow_CW,Flow (GPM),ejames,44.88,2019-03-24,19,1,Weekend,2019-03-24,1
