,time stamp,date_pt,hour_pt,time_pt,var,value,site,vartype,dates,timestep_sum
93,2015-01-04 21:00:00,2015-01-05,21,2015-01-04 21:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-04,1
94,2015-01-04 22:00:00,2015-01-05,22,2015-01-04 22:00:00,GPM,100.0,sunset,Flow (GPM),2015-01-04,1
95,2015-01-04 23:00:00,2015-01-05,23,2015-01-04 23:00:00,GPM,60.0,sunset,Flow (GPM),2015-01-04,1
96,2015-01-05 00:00:00,2015-01-05,0,2015-01-05 00:00:00,GPM,30.0,sunset,Flow (GPM),2015-01-05,1
97,2015-01-05 01:00:00,2015-01-05,1,2015-01-05 01:00:00,GPM,40.00000000000001,sunset,Flow (GPM),2015-01-05,1
98,2015-01-05 02:00:00,2015-01-05,2,2015-01-05 02:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-05,1
99,2015-01-05 03:00:00,2015-01-05,3,2015-01-05 03:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-05,1
100,2015-01-05 04:00:00,2015-01-05,4,2015-01-05 04:00:00,GPM,0.0,sunset,Flow (GPM),2015-01-05,1
101,2015-01-05 05:00:00,2015-01-05,5,2015-01-05 05:00:00,GPM,30.000000000000007,sunset,Flow (GPM),2015-01-05,1
102,2015-01-05 06:00:00,2015-01-05,6,2015-01-05 06:00:00,GPM,150.0,sunset,Flow (GPM),2015-01-05,1
103,2015-01-05 07:00:00,2015-01-05,7,2015-01-05 07:00:00,GPM,340.0,sunset,Flow (GPM),2015-01-05,1
104,2015-01-05 08:00:00,2015-01-05,8,2015-01-05 08:00:00,GPM,220.0,sunset,Flow (GPM),2015-01-05,1
105,2015-01-05 09:00:00,2015-01-05,9,2015-01-05 09:00:00,GPM,120.0,sunset,Flow (GPM),2015-01-05,1
106,2015-01-05 10:00:00,2015-01-05,10,2015-01-05 10:00:00,GPM,40.0,sunset,Flow (GPM),2015-01-05,1
