,variable,Date,Hour,value,units,site,dates,WeekDay,WeekPart,time stamp
190,Total.Flow,8/17/2016,22,0.024933333,GPM,BuildingA,8/17/2016,4,Weekday,8/17/2016 22:00
191,Total.Flow,8/17/2016,23,0,GPM,BuildingA,8/17/2016,4,Weekday,8/17/2016 23:00
192,Total.Flow,8/18/2016,0,0,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 0:00
193,Total.Flow,8/18/2016,1,0,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 1:00
194,Total.Flow,8/18/2016,2,0,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 2:00
195,Total.Flow,8/18/2016,3,0.174783333,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 3:00
196,Total.Flow,8/18/2016,4,0.087683333,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 4:00
197,Total.Flow,8/18/2016,5,0.012466667,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 5:00
198,Total.Flow,8/18/2016,6,0.187033333,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 6:00
199,Total.Flow,8/18/2016,7,0.212183333,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 7:00
200,Total.Flow,8/18/2016,8,0.685183333,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 8:00
201,Total.Flow,8/18/2016,9,0.124716667,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 9:00
202,Total.Flow,8/18/2016,10,0.1247,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 10:00
203,Total.Flow,8/18/2016,11,0.27435,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 11:00
204,Total.Flow,8/18/2016,12,0.262933333,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 12:00
205,Total.Flow,8/18/2016,13,0.087066667,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 13:00
206,Total.Flow,8/18/2016,14,0.049866667,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 14:00
207,Total.Flow,8/18/2016,15,0.572916667,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 15:00
208,Total.Flow,8/18/2016,16,0.149633333,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 16:00
209,Total.Flow,8/18/2016,17,0.111616667,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 17:00
210,Total.Flow,8/18/2016,18,0.112,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 18:00
211,Total.Flow,8/18/2016,19,0.09975,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 19:00
212,Total.Flow,8/18/2016,20,0.448883333,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 20:00
213,Total.Flow,8/18/2016,21,0.1378,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 21:00
214,Total.Flow,8/18/2016,22,0.062766667,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 22:00
215,Total.Flow,8/18/2016,23,0,GPM,BuildingA,8/18/2016,5,Weekday,8/18/2016 23:00
216,Total.Flow,8/19/2016,0,0.012466667,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 0:00
217,Total.Flow,8/19/2016,1,0,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 1:00
218,Total.Flow,8/19/2016,2,0.024933333,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 2:00
219,Total.Flow,8/19/2016,3,0.037,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 3:00
220,Total.Flow,8/19/2016,4,0,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 4:00
221,Total.Flow,8/19/2016,5,0.1251,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 5:00
222,Total.Flow,8/19/2016,6,0.061933333,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 6:00
223,Total.Flow,8/19/2016,7,0.398566667,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 7:00
224,Total.Flow,8/19/2016,8,0.724233333,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 8:00
225,Total.Flow,8/19/2016,9,0.236283333,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 9:00
226,Total.Flow,8/19/2016,10,0.2868,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 10:00
227,Total.Flow,8/19/2016,11,0.074416667,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 11:00
228,Total.Flow,8/19/2016,12,0.037616667,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 12:00
229,Total.Flow,8/19/2016,13,0.06215,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 13:00
230,Total.Flow,8/19/2016,14,0.09935,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 14:00
231,Total.Flow,8/19/2016,15,0.049266667,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 15:00
232,Total.Flow,8/19/2016,16,0.1995,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 16:00
233,Total.Flow,8/19/2016,17,0.087083333,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 17:00
234,Total.Flow,8/19/2016,18,0.199933333,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 18:00
235,Total.Flow,8/19/2016,19,0.149433333,GPM,BuildingA,8/19/2016,6,Weekend,8/19/2016 19:00
